Functions,Hard,Hard,Hard,Hard,Hard,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Soft_M,Soft_M,Soft_M,Soft_M,Soft_M,Soft_c,Soft_c,Soft_c,Soft_c,Soft_c,Coello,Coello,Coello,Coello,Coello,Static,Static,Static,Static,Static
Statistics,Mean,Min,% Feasibility,avg Count,avg Mag,Mean,Min,% Feasibility,avg Count,avg Mag,Mean,Min,% Feasibility,avg Count,avg Mag,Mean,Min,% Feasibility,avg Count,avg Mag,Mean,Min,% Feasibility,avg Count,avg Mag,Mean,Min,% Feasibility,avg Count,avg Mag
f1,2.92e+01 +- 2.09e+01,0,100,0,0,2.00e+01 +- 3.80e+01,0,100,0,0,2.31e+01 +- 7.11e+01,0,100,0,0,2.20e+01 +- 6.36e+01,0,100,0,0,2.20e+01 +- 6.09e+01,0,100,0,0,2.24e+01 +- 5.87e+01,0,100,0,0
f10,1.88e+01 +- 1.98e+01,0,100,0,0,2.44e+01 +- 8.22e+01,0,100,0,0,2.19e+01 +- 6.85e+01,0,100,0,0.0,2.25e+01 +- 6.38e+01,0,100,0,0,2.17e+01 +- 6.00e+01,0,100,0,0,2.25e+01 +- 5.84e+01,0,100,0,0
f12,4.04e+01 +- 3.61e+01,0,100,0,0,3.19e+01 +- 7.99e+01,0,100,0,0,2.66e+01 +- 6.80e+01,0,100,0,0,2.61e+01 +- 6.39e+01,0,100,0,0,2.50e+01 +- 6.09e+01,0,100,0,0,2.46e+01 +- 5.84e+01,0,100,0,0
f22,3.03e+01 +- 3.58e+01,0,100,0,0,2.83e+01 +- 7.60e+01,0,100,0,0,2.47e+01 +- 6.58e+01,0,100,0,0,2.47e+01 +- 6.25e+01,0,100,0,0,2.40e+01 +- 5.98e+01,0,100,0,0,2.38e+01 +- 5.76e+01,0,100,0,0
f24,1.81e+01 +- 4.04e+01,0,100,0,0,2.24e+01 +- 7.43e+01,0,100,0,0,2.10e+01 +- 6.51e+01,0,100,0,0,2.19e+01 +- 6.21e+01,0,100,0,0,2.18e+01 +- 5.96e+01,0,100,0,0,2.20e+01 +- 5.75e+01,0,100,0,0
